@relation webpage_info
@attribute titleMatchRegex:j {True, False}
@attribute titleMatchRegex:knqk {True, False}
@attribute titleMatchRegex:entf {True, False}
@attribute titleMatchRegex:xeuxgt {True, False}
@attribute titleMatchRegex:w {True, False}
@attribute titleMatchRegex:cqn {True, False}
@attribute titleMatchRegex:e {True, False}
@attribute titleMatchRegex:y {True, False}
@attribute titleMatchRegex:lfc {True, False}
@attribute titleMatchRegex:hqe {True, False}
@attribute titleMatchRegex:u {True, False}
@attribute titleMatchRegex:hok {True, False}
@attribute titleMatchRegex:d. {True, False}
@attribute titleMatchRegex:. {True, False}
@attribute titleMatchRegex:yb.xgrsj {True, False}
@attribute titleMatchRegex:t {True, False}
@attribute titleMatchRegex:my {True, False}
@attribute titleMatchRegex:m {True, False}
@attribute titleMatchRegex:am {True, False}
@attribute titleMatchRegex:l {True, False}
@attribute titleMatchRegex:k {True, False}
@attribute titleMatchRegex:zvz {True, False}
@attribute titleMatchRegex:c {True, False}
@attribute titleMatchRegex:eh {True, False}
@attribute titleMatchRegex:.v {True, False}
@attribute titleMatchRegex:mu. {True, False}
@attribute titleMatchRegex:.h {True, False}
@attribute titleMatchRegex:i {True, False}
@attribute titleMatchRegex:fz {True, False}
@attribute titleMatchRegex:ux {True, False}
@attribute titleMatchRegex:qtkr {True, False}
@attribute titleMatchRegex:h {True, False}
@attribute titleMatchRegex:j..ebh {True, False}
@attribute titleMatchRegex:.z {True, False}
@attribute titleMatchRegex:.. {True, False}
@attribute titleMatchRegex:jbmw.g {True, False}
@attribute titleMatchRegex:og {True, False}
@attribute titleMatchRegex:op {True, False}
@attribute titleMatchRegex:jl {True, False}
@attribute titleMatchRegex:is {True, False}
@attribute titleMatchRegex:dj {True, False}
@attribute titleMatchRegex:yjr {True, False}
@attribute titleMatchRegex:.hc {True, False}
@attribute titleMatchRegex:l.fu {True, False}
@attribute titleMatchRegex:yv {True, False}
@attribute titleMatchRegex:bc {True, False}
@attribute titleMatchRegex:rg {True, False}
@attribute titleMatchRegex:vx {True, False}
@attribute titleMatchRegex:...e {True, False}
@attribute titleMatchRegex:o {True, False}
@attribute titleMatchRegex:.g {True, False}
@attribute titleMatchRegex:.y. {True, False}
@attribute titleMatchRegex:.nnt {True, False}
@attribute titleMatchRegex:mn {True, False}
@attribute titleMatchRegex:.eq {True, False}
@attribute titleMatchRegex:wf {True, False}
@attribute titleMatchRegex:b {True, False}
@attribute titleMatchRegex:p {True, False}
@attribute titleMatchRegex:en {True, False}
@attribute titleMatchRegex:.jrft.j {True, False}
@attribute titleMatchRegex:po {True, False}
@attribute titleMatchRegex:f {True, False}
@attribute titleMatchRegex:... {True, False}
@attribute titleMatchRegex:p.hl.n {True, False}
@attribute titleMatchRegex:ln {True, False}
@attribute titleMatchRegex:alyila {True, False}
@attribute titleMatchRegex:ve {True, False}
@attribute titleMatchRegex:i. {True, False}
@attribute titleMatchRegex:eri {True, False}
@attribute titleMatchRegex:aqyxo {True, False}
@attribute titleMatchRegex:r {True, False}
@attribute titleMatchRegex:s. {True, False}
@attribute titleMatchRegex:.lzjc {True, False}
@attribute titleMatchRegex:dp... {True, False}
@attribute titleMatchRegex:jkh {True, False}
@attribute titleMatchRegex:q {True, False}
@attribute titleMatchRegex:klfa {True, False}
@attribute titleMatchRegex:.xumcx {True, False}
@attribute titleMatchRegex:.b. {True, False}
@attribute titleMatchRegex:uj.e {True, False}
@attribute titleMatchRegex:fj {True, False}
@attribute titleMatchRegex:nu {True, False}
@attribute titleMatchRegex:nar {True, False}
@attribute titleMatchRegex:pcdonfhb {True, False}
@attribute titleMatchRegex:n.f {True, False}
@attribute titleMatchRegex:.cdu {True, False}
@attribute titleMatchRegex:fjj {True, False}
@attribute titleMatchRegex:fwae {True, False}
@attribute titleMatchRegex:.w {True, False}
@attribute titleMatchRegex:iikh {True, False}
@attribute titleMatchRegex:kgml {True, False}
@attribute titleMatchRegex:.e {True, False}
@attribute titleMatchRegex:jp {True, False}
@attribute titleMatchRegex:.eo {True, False}
@attribute titleMatchRegex:jnxo {True, False}
@attribute titleMatchRegex:h. {True, False}
@attribute titleMatchRegex:pcr {True, False}
@attribute titleMatchRegex:gb {True, False}
@attribute titleMatchRegex:l.. {True, False}
@attribute titleMatchRegex:ji {True, False}
@attribute hasLinks {True, False}
@attribute moreThan10Links {True, False}
@attribute moreThan100Links {True, False}
@attribute moreThan1000Links {True, False}
@attribute hasPhotos {True, False}
@attribute moreThan10Photos {True, False}
@attribute moreThan100Photos {True, False}
@attribute hasStrong {True, False}
@attribute hasBold {True, False}
@attribute hasEmphasis {True, False}
@attribute hasItalic {True, False}
@attribute noisy50 {True, False}
@attribute noisy51 {True, False}
@attribute noisy52 {True, False}
@attribute noisy53 {True, False}
@attribute noisy54 {True, False}
@attribute noisy55 {True, False}
@attribute noisy56 {True, False}
@attribute noisy57 {True, False}
@attribute noisy58 {True, False}
@attribute noisy59 {True, False}
@attribute noisy60 {True, False}
@attribute noisy61 {True, False}
@attribute noisy62 {True, False}
@attribute noisy63 {True, False}
@attribute noisy64 {True, False}
@attribute noisy65 {True, False}
@attribute noisy66 {True, False}
@attribute noisy67 {True, False}
@attribute noisy68 {True, False}
@attribute noisy69 {True, False}
@attribute noisy70 {True, False}
@attribute noisy71 {True, False}
@attribute noisy72 {True, False}
@attribute noisy73 {True, False}
@attribute noisy74 {True, False}
@attribute noisy75 {True, False}
@attribute noisy76 {True, False}
@attribute noisy77 {True, False}
@attribute noisy78 {True, False}
@attribute noisy79 {True, False}
@attribute noisy80 {True, False}
@attribute noisy81 {True, False}
@attribute noisy82 {True, False}
@attribute noisy83 {True, False}
@attribute noisy84 {True, False}
@attribute noisy85 {True, False}
@attribute noisy86 {True, False}
@attribute noisy87 {True, False}
@attribute noisy88 {True, False}
@attribute noisy89 {True, False}
@attribute noisy90 {True, False}
@attribute noisy91 {True, False}
@attribute noisy92 {True, False}
@attribute noisy93 {True, False}
@attribute noisy94 {True, False}
@attribute noisy95 {True, False}
@attribute noisy96 {True, False}
@attribute noisy97 {True, False}
@attribute noisy98 {True, False}
@attribute noisy99 {True, False}
@attribute important {True, False}
@data
False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
False,False,False,False,True,False,True,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True
False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,False,True,False,True,True,True,False,True,False,True,True,False,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True
False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True
True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
